Cluster	b1_WT_rep1	b1_WT_rep2	b2_WT_rep1	b1_clsy12	b2_clsy12	b1_clsy3	b2_clsy3	b1_clsy4	b2_clsy4	b1_clsy34	b2_clsy34	b1_pol_iv	b2_pol_iv	b1_rim22_3	b2_rim22_3	b2_rim22_2	b1_rim22_2
merged_4_3063973	1.32	0.38	0.37	0.74	0.6	1.04	0.69	0.49	0.42	0.97	0.16	0.03	0	0.93	0.67	0.5	1.6
merged_2_6544135	36.95	36.85	31.27	1.73	2.75	71.01	62.02	50.78	27.89	73.62	65.57	1.55	0.36	39.36	34.36	22.15	29.61
merged_4_7292089	8.76	7.3	4.48	2.31	1.51	11.8	7.85	8.63	3.97	13.55	7.88	0.51	0.07	16.25	11.25	9.36	16.98
merged_1_17806	12.65	13.33	18.57	0.96	1.21	20.37	21.13	15.18	14.42	20.22	20.91	0.24	0.32	18.14	17.72	13.33	14.98
merged_3_12050178	10.13	10.24	8.43	10.62	9.19	9.5	8	7.19	5.12	2.37	1.03	0.31	0.08	10.75	11.17	8.65	13.66
merged_4_13770152	31.37	28.95	10.05	1.23	0.78	40.22	22.17	29.59	9.48	69.58	22.27	0.81	0.77	52.61	35.11	28.1	34.04
merged_3_17848036	27.16	26.88	23.62	36.4	29.61	16.68	13.7	38.51	24.28	33.37	21.31	0.66	0.03	3.84	2.12	3.28	6.64
merged_4_2180200	76.7	65.51	29.84	0.21	1.82	124.67	67.38	87.97	32.4	142.12	76.28	2.37	0.64	88.61	38.25	28.08	65.88
merged_2_8448794	8.98	8.79	7.38	0.32	0	22.72	15.59	28.5	11.37	44.3	30.88	1.72	0	21.05	12.41	13.83	16.87
merged_3_13386229	1.2	1.49	0.68	2.43	1.56	2.11	1.14	0.38	0.42	0.29	0.13	0.03	0	3.29	1.66	0.76	3.17
merged_2_6478284	2.83	3.51	3.89	0.62	1.42	6.27	6.06	4.53	3.51	6.64	5.94	0.05	0.04	4.56	3.03	3.59	4.12
merged_1_24577162	31.01	29.95	15.42	2.63	2.43	57.83	31.97	28.1	14.28	57.82	33.57	0.59	0	44.97	23.84	14.28	33.45
merged_3_12722116	1.95	4.44	1.79	2.98	3.41	2.7	2.2	1.65	1.53	0.61	0.66	0.13	0.03	3.5	3.51	1.83	3.99
merged_1_16815916	10.36	11.16	6.06	0.57	1.51	14	12.26	9.07	6.56	20.22	10.71	0.09	0	14.58	9.67	6.07	11.2
merged_1_23736688	16.8	24.16	15.99	4.47	2.36	15.93	10.7	99.59	64.18	0.72	0	1.84	0	0.79	0	0.48	0.7
merged_5_10859705	7.82	6.25	3.19	1.85	1.32	14.83	6.68	7.29	2.45	11.9	3.8	0	0	11.78	6.26	4.37	7.98
merged_2_6747602	5.58	5.49	2.66	3.36	1.26	5.58	3.71	4.19	2.53	7.02	3.27	0.19	0	12.95	10.04	7.92	16.64
merged_2_4616732	5.25	7.22	3.71	4.19	2.35	9.79	6.38	5.37	2.87	9.03	4.15	0.15	0.11	8.18	8.07	6.01	6.49
merged_3_15711610	5.99	4.09	3.92	3.81	3.88	6.79	4.88	7.11	2.97	5.29	3.35	0	0.21	9.23	7.71	6.43	7.12
merged_5_15580475	13.93	13.78	14.72	1.89	2.22	26.57	22.51	26.25	16.85	45.05	30.84	1.04	0.18	28.25	23.09	9.86	16.88
merged_5_12626303	2.57	2.94	1.84	4.1	1.96	3.39	3.1	2.89	1.06	0.51	0.38	0.08	0	3.98	2.33	3.69	2.72
merged_2_4732131	4.9	4.72	2.52	3.08	2.25	6.53	3.63	2.86	1.7	2.3	1.24	0.35	0	5.76	4.12	1.54	4.31
merged_2_13559878	34.56	35.9	31.8	0.71	0.6	54.16	44.59	43.5	30.19	63.92	57.6	1.26	0.29	33.43	25.03	25.97	37.11
merged_2_6508343	1.78	3.35	2.7	0.59	0.74	3.87	5.12	2.26	0.7	3.83	1.85	0.19	0	3.27	1.78	2.16	5.37
merged_4_934283	55.65	65.71	84.52	0.84	2	121.33	131.86	142.6	93.44	229.77	170.77	4.5	1.97	61.2	60.49	56.63	94.95
merged_1_12050085	16.46	23.16	13.85	0	0.57	40.58	24.22	25.49	14.79	50.11	30.56	1.03	0	29.13	34.02	25.27	21.72
merged_1_23173343	17.46	22.83	19.67	0.47	0.97	42.21	37.59	26.72	17.41	40.75	36.23	0.58	0.07	28.5	20.08	15.76	31.59
merged_3_17665793	5.18	4.94	3.97	0.36	0.17	10.85	6.49	5.29	2.53	9.79	6.28	0.07	0	6.36	4.18	5.73	6.94
merged_2_6970151	182.98	196.57	211.22	246.59	232.81	105.57	91.48	211.72	200.73	11.66	7.67	4.32	0.71	187.53	252.77	203.62	223.18
merged_4_2554362	47.01	55.74	45.48	0.43	1.53	74.48	61.96	58.47	37.18	95.5	61.68	1.29	0.44	63.68	67.81	53.42	57.74
merged_3_16060695	6.04	6.85	4.96	0.88	1.22	12.36	10.43	8.15	6.46	14.26	16.74	0.36	0.16	14.81	10.79	8.81	12.07
merged_2_14062722	25.88	21.13	13.44	0.29	1.64	34.66	29.22	32.54	15.27	34.26	38.75	0.71	0	31.87	17.31	14.1	22.81
merged_4_1873241	5.83	6.62	4.11	10.53	4.86	17.66	7.23	9.38	2.37	15.54	7.56	52.5	15.72	13.93	8.41	6.49	12.32
merged_2_2286835	5.92	2.31	7.26	0	1.51	12.24	14.28	20.39	16.03	41.36	39.97	0.49	0	5.7	7.27	7.67	6.08
merged_3_12128265	7.65	8.47	3.26	0.7	0.77	15.28	6.4	7.63	3.26	11.18	6.15	0.27	0.12	13.09	6.34	6.54	8.88
merged_5_10671640	5.11	2.49	2.22	3.77	3.21	4.8	4.28	1.14	0.15	2.06	0.68	0.25	0.05	4.35	2.54	2.31	4.52
merged_4_5441328	2.9	5.12	2.18	1.24	0.35	6.4	4.65	3.39	1.37	5.21	3.05	0.11	0.09	7.91	2.39	1.87	5
merged_3_16302571	148.6	145.93	155.87	1.06	1.53	226.45	192.15	184.07	138.5	324.07	247.69	6.11	2.27	50.74	99.17	139.54	140.56
merged_3_3664909	18.29	19.93	16.02	20.89	17.45	34.96	44.36	27	18.6	9.73	8.09	0.51	0	0.65	0.28	0.99	1.62
merged_5_838752	104.71	115.54	76.45	105.96	90.69	23.6	18.77	117.26	71.9	19.33	9.88	3	1	11.81	18.51	6.16	11.41
