Cluster	b1_WT_rep1	b1_WT_rep2	b2_WT_rep1	b1_clsy12	b2_clsy12	b1_clsy3	b2_clsy3	b1_clsy4	b2_clsy4	b1_clsy34	b2_clsy34	b1_pol_iv	b2_pol_iv	b1_rim22_3	b2_rim22_3	b2_rim22_2	b1_rim22_2
merged_1_15684213	3.15	2.74	1.84	2.23	1.29	4.85	4.01	1.74	1.35	5.84	4.34	0.27	0.15	3.66	3.44	2.11	3.24
merged_5_13092846	3.22	2.06	1.18	2.28	1.29	3.41	1.83	1.61	0.64	2.74	0.7	0.12	0	4.16	2.12	2.82	7.4
merged_1_23876250	12.84	10.52	6.24	0.41	0.61	18.88	14.1	12.65	7.48	18.76	13.38	0.23	0.17	14.56	13.85	8.2	11.67
merged_4_7434765	19.9	22.4	13.54	0.44	0.28	30.2	26.66	45.19	19.37	68.26	44.48	1.28	0.28	38.6	20.38	14.06	25.3
merged_1_21857683	22.85	22.11	21.74	4.2	3.54	33.08	28.49	33.73	26.69	60.4	67.81	1.77	0.22	36.5	47.92	18.26	28.85
merged_2_6088905	57.01	55.54	33.51	3.34	1.35	72.21	45.94	43.59	17.3	74.83	42.55	1.25	0.57	68.35	34.82	19.71	51.33
merged_2_2954446	3.09	4.72	2.61	4.13	1.26	5.45	4.78	5.94	1.97	5.4	5.22	0	0.21	6.19	6.71	8.02	11.88
merged_2_1167256	18.68	25.92	16.37	2.35	1.91	44.38	45.1	36.09	30.82	48.79	51.4	1.33	0.73	36.07	22.74	20.62	26.55
merged_4_2337922	33	31.15	9.98	25.8	13.18	15.84	9.55	19.94	6.23	2.12	1.19	0.59	0	41.76	38.09	25.15	42.74
merged_4_7718435	15.82	18.13	8.26	0.33	0	28.59	13.73	16.8	7.89	37.65	15.45	0.27	0.21	26.58	12.35	9.78	20.95
merged_5_15402201	7.17	5.59	7.45	0.55	0.17	7.79	10.34	8.13	4.89	9.31	7.24	0.45	0.09	13.59	6.95	12.45	17.92
merged_1_23861859	75.6	76.63	106.35	2.98	2.99	168.8	186.1	71.99	62.97	181.91	173.65	3.89	1.24	170.24	220.16	67.16	81.39
merged_1_11314850	9.23	13.74	10.19	1.98	0.96	22.36	16.14	18.64	9.07	32.97	15.36	0.75	0.38	13.55	21.15	18.94	19.61
merged_2_6152728	13.17	10.83	12.3	0.99	0.81	17.35	19	12.54	7.42	13.57	8.65	0.12	0.03	19.63	17.72	5.84	12.67
merged_1_19767894	19.03	21.03	11.2	0.37	0.35	45.25	31.26	27.75	11.54	38.7	32.53	1.22	0.12	27.13	14.44	15.9	23.16
merged_5_3549747	61.65	68.58	70.94	1.35	0.28	113.01	86.98	72.26	64.52	121.31	118.71	2.96	0.84	67.1	56.95	46.1	60.41
merged_3_12174952	1.54	2.34	1.8	0.49	0.46	3.4	1.75	1.97	0.68	2.62	1.39	0.2	0.03	2.22	2.2	1.68	2.16
merged_1_14143505	3.92	3.87	3.15	3.2	3.48	4.52	4.53	0.88	0.5	0.71	0.31	0.16	0.02	3.26	3.06	4.61	5.41
merged_1_4329778	9.94	9.38	8.04	0.78	0.56	17.26	13.82	12.32	7.97	17.06	13.96	0.35	0.14	11.31	10.14	10.21	10.85
merged_5_10377834	0.96	0.91	0.85	0.94	1.41	0.73	0.43	0.92	0.47	0	0	0.19	0	1.21	0.32	1.42	1.86
merged_1_13166188	19.07	17.32	10.11	1.27	1.6	22.95	23.9	21.07	13.27	32.27	26.16	1.24	0.15	25.72	14.75	10.29	13.44
merged_1_5171811	213.15	239.29	260.92	3.97	2.27	435.26	430.58	427.7	333.18	754.5	705.63	13.42	4.59	314.82	336.3	246.67	279.85
merged_4_10902895	4.45	7.56	5.19	5.44	4.82	11.64	8.73	10.01	5.41	7.1	5.84	0	0.17	18.41	14.43	10.68	17.7
merged_4_6465102	2.78	3.11	3.25	0.73	0.12	7.18	4.42	6.09	3.27	7.56	7.4	0.45	0	3.2	2.67	2.48	4.76
merged_3_7600049	14.02	20.96	13.35	1.38	0.6	28.12	22.86	22.56	12.72	37.93	25.66	1.21	0.11	16.86	13.05	12.91	20.78
merged_3_17366345	12.68	10.36	5.29	5.75	3.24	16.97	12.63	11.75	5.68	6.77	4.68	0.32	0	23.09	24.07	11.15	26.17
merged_5_17985782	2.84	2.42	1.14	0.44	0.94	6.6	2.38	5.41	0.98	9.16	4.01	0.14	0.16	3.95	1.74	1.1	3.79
merged_5_10422381	6.94	6.6	6.11	8.91	7.06	2.65	4.1	1.3	2.46	1.48	1.29	0	0.12	11.98	10.36	8.55	15.13
merged_1_13742744	2.79	1.6	1.05	1.6	0.91	3.13	2.43	3.08	1.06	5.56	3.02	0	0.3	4.32	3.89	1.32	5.69
merged_5_14184139	8.88	7.68	4.23	12.29	5.19	9.91	4	2.56	3.49	0.85	0	0	0	11.65	10.45	13.05	13.57
merged_2_18971689	13.87	17.02	8.4	0.42	0.49	27.12	17.27	20.97	8.27	36.37	19.74	0.39	0.41	23.74	13.51	12.5	19.66
merged_1_22112473	16.74	12.76	8.95	1.18	0.81	20.64	11.89	12.17	7.04	19.43	11.3	1.05	0.23	24.58	14.84	10.96	18.03
merged_3_13586031	20.89	16.05	9.71	2.47	3.16	24.07	17.38	18.86	8.12	29.4	14.97	1.27	0.28	20.73	16.63	10.87	22.13
merged_5_13827602	23.74	24.64	19.99	5.27	5.56	34.84	31.98	27.63	18.79	42.1	31.21	1.06	0.42	30.54	24.2	18.42	24.65
merged_4_7330550	25.92	26.97	10.31	0.92	1.31	41.54	22.69	29.08	8.8	62.87	25.31	0.09	0.29	38.92	23.98	18.26	23.32
merged_5_25856622	2.04	1.8	1.34	1.31	0.74	3.51	3.83	2.17	1.06	5.28	2.58	0	0	4.06	3.63	3.46	5.03
merged_5_8945130	17.32	18.42	20.16	0.73	0.77	18.65	22.13	13	15.81	13.59	13.68	0.2	0	28.28	24.37	20.17	24.78
merged_5_12501530	4.47	4.95	4.24	4.83	5.37	4.5	4.24	3.82	3.68	2.36	2.19	0.18	0.06	4.1	5.48	4.26	5.42
merged_5_20266867	7.48	3.09	2.63	0	0	4.64	4.21	10.53	1.86	13.66	3.29	0.33	0	13.4	7.16	3.5	6.57
merged_2_8045678	10.49	11.12	7.2	0.62	0.39	16.46	13.65	10.67	4.98	19.29	9.95	0.3	0.08	15.58	10.46	6.92	9.19
merged_3_12065338	7.43	8.06	7.05	0.5	0.41	10.2	10.6	8.27	5.69	10.17	9.76	0.24	0	11.39	8.56	6.52	9.83
merged_2_3303688	5.39	6.04	6.95	6.98	8.18	9.77	11.84	1.72	1.65	2.1	1.95	1.12	1.33	8.51	11.4	11.8	7.3
merged_1_12548031	5.38	6.72	2.36	0.17	0.54	10.65	4.94	11.06	5.32	17.08	14.55	0	0	11	6.65	5.05	7.92
merged_5_17030030	4.59	4.07	3.26	0	0.33	8.02	4.19	5.43	3.08	6.45	5.03	0.17	0	4.94	2.63	4.41	7.02
merged_1_16538434	10.17	15.11	9.28	0.97	0.99	21.28	15.93	15.19	9.9	27.45	19.28	0.67	0.32	16.28	10.55	8.35	17.67
merged_2_6593751	3.29	2.46	1.96	0.41	0.6	6.48	3.5	4.44	1.54	5.33	2.71	0.13	0	5.53	3.69	2.57	5.32
merged_5_7327864	12.9	13.44	9.12	0.35	0.6	18.97	16.38	15.04	7.72	28.49	18.35	0.68	0.15	19	10.31	9.52	13.7
merged_4_6158077	20.73	19.36	14.4	0.97	0.46	40.13	28.53	22.81	16.13	44.66	31.51	0.4	0.15	40.1	32.93	32.44	36.9
merged_3_4721747	3.63	3.61	3.26	1.84	0.27	10.47	5.8	6.69	2.53	8.31	6.88	0	0	5.18	3.37	3.43	4.32
merged_1_18506801	6.78	5.74	3.28	1.76	1.45	12.16	6.67	5.44	2.33	12.05	9.81	0	0.08	11.61	8.26	9.36	17.04
merged_2_13336353	6.16	4.92	2.25	0.31	0.2	8.99	8.16	5.57	3.29	8.89	6.67	0.13	0.1	10.38	4.2	4.74	6.41
merged_2_11834719	237.98	259.71	390.22	2.47	4.1	2.2	2.27	184.83	195.3	2.46	1.56	5.34	1.54	375.24	350.7	0.9	159.87
merged_2_18659337	14.71	11.11	11.74	0.2	0.33	22.88	20.57	21.39	14.45	57.81	44.38	1.62	0.25	20.12	25.27	17.06	14.56
merged_4_11111616	16.76	17.98	23.06	3.28	2.72	22.29	23.5	12.54	12.58	19.68	21.28	0.55	0.22	20.36	32.35	14.79	14.27
merged_5_16031202	26.4	23.4	12.75	2.02	0.38	33.67	16.14	30.43	12.59	44.4	17.61	1.66	0.13	28.3	14.11	14.59	25.37
merged_5_9385748	13.5	14.12	11.06	8.31	5.39	19.2	18.56	16.13	13.27	15.77	17.39	1.81	0.33	12.97	25.44	17.05	18.21
merged_5_13781847	3.44	4.46	2.46	2.11	2.77	6.03	4.43	3.28	2.4	4.68	3.59	0.07	0.02	5	3.14	3.45	4.68
merged_2_19527895	5.57	14.75	8.37	0.53	0.34	22.7	8.92	13.94	11.25	30.78	7.04	0.87	0	18.16	13.5	8.49	9.9
merged_1_22985250	15.16	13.38	5.4	1.22	1.2	32.76	20.14	17.7	6.26	38.42	17.68	0.64	0.62	17.77	10.34	12.54	19.66
merged_1_21068243	27.8	28.15	13.06	32.48	22.48	0.5	0.3	46.93	23.28	0.07	0	0.54	0.35	0.3	0.36	0.59	0.91
merged_1_24119076	2.05	1.75	1.32	0.88	0.64	7.61	2.64	2.86	0.67	3.92	1.35	0.21	0.16	3.6	3.06	1.16	4.26
merged_5_14098006	4.1	4.34	3.12	3.33	3.11	9.23	4.43	1.69	1.16	5.98	3.44	0	0	9.92	2.57	7.58	10.73
merged_5_8748747	24.53	28.65	25.62	1.08	0.51	51.95	74.03	39.33	38.1	59.47	77.21	2.22	0.22	35.24	35.78	16.55	22.86
merged_5_13512467	5.52	8.27	1.83	3.62	2.38	6.2	4.24	1.95	0.55	3.43	2.46	0	0	7.97	3.84	7.49	12.28
merged_2_12886384	4.63	4.76	2.46	1.17	0.6	6.22	3.32	6.11	1.56	9.59	2.78	0.42	0.23	7.25	2.86	1.89	2.74
merged_1_12297412	5.74	5.72	3.27	1.11	0.91	7.5	5.18	6.95	1.96	8.75	4.11	0.44	0.07	9.9	5.21	5.08	8.26
merged_5_15151221	5.13	7.84	1.78	2.37	1.5	11.46	3.73	15.11	4.48	45.14	11.75	0.84	0.42	10.5	2.01	3.77	7.85
merged_5_14994692	13.54	13.56	10.54	0.92	0.29	31.57	19.74	22.06	11.43	44.62	17.94	1.38	0.48	24.67	17.11	10.29	21.85
merged_3_11937034	3.24	3.7	2.56	2.25	2.41	4.27	4.03	3.21	1.67	2.54	1.84	0	0.1	4.08	2.92	2.56	3.52
merged_5_5854873	106.42	122.37	80.09	114.18	95.02	20.18	13.16	114.57	72.55	17.31	8.44	2.56	0.38	4.86	2.91	1.36	3.87
merged_2_10019708	6.68	8.71	3.06	0.72	0.74	10.05	6.92	9.72	3.26	12.01	6.5	0.66	0.17	14.6	5.96	5.29	9.77
merged_3_17640031	34.24	37.96	31.41	17.43	11.12	62.15	46.54	29.98	13.8	46.48	39.05	1.76	0.16	62.29	43.71	50.34	83
merged_5_26073066	12.15	6.03	15.97	3.47	1.1	20.88	21.89	26.59	14.38	20.76	21.92	2.14	0	11.74	11.74	9.67	16.69
merged_3_12118853	4.38	4.48	3.36	0.65	1.15	8.09	5.95	5.91	2.86	8.74	5.29	0.2	0.07	6.26	5.07	4.07	6.69
merged_2_305707	43.75	54.2	55.13	3.02	2.25	98.66	78.83	63.34	48.88	97.43	101.45	1.9	0.78	63.36	51.84	47.46	55.38
merged_2_3257825	1.42	1.68	1.02	0.76	0.63	2.44	1.8	0.99	0.9	1.46	1.23	0.14	0.14	2.11	1.65	1.04	1.63
merged_5_8147592	14.25	12.89	5.76	0.84	0.47	19.36	10.68	15.02	5.19	20.76	11.78	0.31	0.29	20.55	13.42	10.26	15.87
merged_3_10952628	19.78	19.76	18.41	12.36	10.94	19.28	16.61	19.61	12.18	21.65	16.41	0.49	0.23	16.25	12.87	12.31	19.66
merged_3_12301840	9.4	4.36	2.79	6.5	3.94	9.44	4.83	6.19	4.31	6.04	1.52	0.58	0.26	9.44	8.95	3.63	8.07
merged_1_16172302	1.51	2.81	1.33	4.13	1.79	4.47	2.17	2.41	1.23	3.4	2.51	0.2	0	4.77	3.02	2.94	5.04
merged_5_12638843	4.4	4.91	2.32	2.83	2.09	7.14	6.81	5.36	2.34	5.98	3.72	0	0	4.88	3.83	3.08	8.8
merged_2_4371109	5.25	4.97	2.94	5.75	4.98	5.67	2.78	2.67	1.01	2.32	1.38	0.02	0.13	8.4	6.37	2.49	9.41
merged_2_10442305	9.99	12.34	5.97	12.37	8.75	7.08	4.23	31.97	22.7	18.62	7.82	1.02	0	5.01	1.95	2.05	6.36
merged_4_7444250	167.65	137.24	104.6	51.32	50.83	54.09	43.17	32.01	20.91	1.81	1.1	0.54	0.14	2.34	2.24	1.05	1.91
merged_2_4366929	2.77	2.98	3.06	2.37	2.06	7.17	6.75	3.34	3.02	5.6	3.85	0.08	0.29	3.78	5.11	3.5	4.13
merged_1_22269552	3.84	5.5	2.22	1.83	2.31	13.11	7.21	6.96	3.69	11.73	5.48	0.68	0.29	9.6	5.39	5.32	9.56
merged_5_5886700	4.43	3.59	1.39	0	0	3.64	3.77	3.94	1.31	4.29	2.76	0.23	0	2.46	1.14	2.25	2.71
merged_1_16773502	57.88	53.26	37.31	0.53	1.34	85.34	56.47	65.05	31.12	106	53.27	1.09	0.83	63.55	34.74	33.05	63.62
merged_2_3835600	1.3	1.74	1.1	1.89	1.27	1.92	1.62	1.12	0.89	1.25	0.82	0.07	0.04	2.71	2.39	1.62	2.19
merged_5_21968862	7.09	7.82	4.23	4.53	6.26	5.41	4.45	9.08	3.55	7.52	4.44	0.2	0.37	10.34	7.42	6.81	6.2
merged_5_9871055	22.95	35.93	19.56	31.27	30.73	16.27	12.91	31.4	20.65	9.27	6.07	0.9	0.22	8.43	6.6	5.67	6.41
merged_5_7351675	24.29	35.39	18.14	0	0.82	50.33	33.25	30.81	16.36	62.96	37.71	1.2	0.1	39.94	23.58	17.05	28.2
merged_3_8930990	33.31	31.43	19.81	0.26	0.5	64.78	35.57	41.67	21.2	80.13	48.24	1.52	0	49.44	25.18	16.78	39.77
merged_4_4731896	1.17	1.22	1.05	1.64	1.54	1.24	1.27	0.92	0.77	1.21	0.72	0.03	0	1.91	1.84	0.89	1.68
merged_1_11636855	15.13	18.8	9.14	1.94	1.92	26.12	20.1	13.5	5.92	18.75	12.37	0.95	0.04	22.41	20.74	15.78	19.27
merged_2_5054877	10.68	5.82	5.48	5.92	10.57	7.2	3.54	7.31	2.85	1.56	0.85	0	0.17	9.64	4.52	2.48	9.44
merged_2_19683341	20.04	27.45	18.79	0.84	0.99	64.97	72.98	51.64	37.97	94.77	128.27	1.29	0.6	36.13	60.78	40.29	46.2
merged_5_7647437	409	421.31	253.12	488.35	304.74	164.32	136.87	356.9	214.43	13.95	7.59	7.62	1.13	306.44	229.32	298.43	425.39
merged_5_11773718	6.85	6.68	5.43	9.25	7.5	5.58	4.77	6.01	5.08	2	1.58	0.17	0.02	7.36	9.31	6.48	9.21
merged_1_10604203	3.65	4.37	2.71	0.2	0.38	10.62	5.88	6.76	2.03	10.81	4.54	0.22	0	10.54	6.09	3.71	7.15
merged_3_14474865	11.86	14.57	17.18	1.16	2.02	23.03	22.89	12.71	12.32	37.06	32.64	1.67	0.18	13.4	20.74	8.87	16.59
merged_1_20131305	27.72	26.37	33.35	0.62	0.71	32.97	43.38	26.66	28.87	41.01	47.12	1.02	1.08	38.5	36.83	29.15	25.27
merged_Mt_12501	3.1	3.36	3.01	1.77	1.81	4	4.26	2.33	2.26	4.31	3.55	0.72	0.49	4.06	6.29	4.36	4.3
merged_1_19807867	8.52	10.4	5.13	2.61	1.74	16.18	8.49	5.92	2.71	11.59	4.97	0.44	0.08	13.27	8.36	7.65	12.81
merged_4_5214269	4.24	4.3	1.58	4.5	2.9	5.07	1.66	1.49	0.31	0.86	0.15	0.03	0.1	11.17	6.22	6.72	14.02
merged_5_10504539	3.1	3.08	1.03	2.29	2.14	3.23	3.36	0.21	0.24	0.53	0.3	0	0	6.63	2.87	2.63	7.03
merged_5_16560359	14.7	10.32	9.58	2.19	1.87	20.9	14.28	12.19	7.77	14.38	12.8	0.72	0.27	17.09	7.24	7.97	12.89
merged_1_23197382	13.1	11.95	4.84	0.12	0	25.58	11.15	19.12	6.86	31.67	14.42	0.31	0.08	18.07	9.32	6.53	14.61
merged_3_11091902	3.72	5.91	2.3	0.11	0.27	9.38	5.03	5.3	2.04	8.63	4.29	0.26	0	8.12	2.7	3.91	6.97
merged_2_4542935	1.94	2.86	1.03	1.24	1.57	3.2	2.68	2.13	0.79	2.57	1.44	0.07	0.08	2.65	1.95	0.85	3.17
merged_2_1572475	12.32	15.92	7.37	0.49	0	18.67	11.79	15.31	6.89	24.17	14.69	1.36	0.1	20.48	15.72	6.72	14.46
merged_1_6235714	42.11	39.98	48.5	53.57	62.34	22.96	20.5	53.14	50.34	16.11	11.72	0.82	0.35	36.27	28.72	43.35	46.91
merged_5_13623258	4.43	2.53	1.81	0.95	0.38	5.23	4.44	6.5	2.23	10.51	4.19	0.28	0.05	16.34	6.86	8.99	12.05
merged_2_10730805	21.82	14.97	3.87	0	0	28.08	16.2	30.62	5.97	46.2	17.27	0.57	0	49.6	15.55	14.27	18.8
merged_5_12568932	17.68	16.03	9.3	2.93	1.86	29.02	17.56	21.19	8.93	30.9	14.64	0.14	0.31	36.84	26.19	11.81	25.19
merged_1_6756244	10.62	8.76	5.05	6.14	9.43	6.42	4.85	14.49	7.91	4.63	4.18	0.39	0	3.48	1.92	0.57	1.67
merged_3_11808042	64.26	65.25	34.96	3.77	1.07	121.36	86.05	83.58	41.63	118.59	95.41	6.37	0.12	77.91	60.02	35.57	62.52
merged_2_4788608	3.64	5.34	1.77	3.19	2.04	3.74	3.2	1.19	1.05	1.17	0.84	0.09	0.13	5.62	6.42	4.34	8.35
merged_2_2841222	8.28	6.92	3.44	0.37	0.83	12.48	14.33	4.9	6.43	6.09	8.37	0.92	0	10.85	9.8	2.62	7.08
merged_3_10905850	22.54	35.25	19.04	1.32	3.34	62.98	39.92	49.97	18.91	51.25	41.58	2.89	0.27	44.37	37.77	30	38.49
merged_3_10991453	16.17	9.99	9.84	0.92	0.59	25.37	17.29	14.41	7.72	19.84	20.66	0.61	0.58	15	8.3	6.63	11.92
merged_2_5284165	0.69	1.14	1.55	1.18	0.75	1.25	1.7	1.35	0.78	1.81	1.02	0.06	0.05	2.64	1.31	1	2.25
merged_1_22795520	23.41	20.96	20.17	0.59	0.75	77.82	67.29	96.1	58.26	148.89	121.09	10.2	0.74	22.54	22.03	31.74	32.37
merged_3_13453733	10.7	11.99	4.02	4.94	3.87	16.82	8.35	5.87	3.47	9.08	3.9	0.19	0	11.05	7.67	4.13	14.1
merged_5_11465950	0.84	1.39	0.91	1.1	1.46	1.08	1.09	0.65	0.48	0.54	0.47	0.04	0.03	1.06	1.35	0.86	1.57
merged_4_10632372	7.97	9.45	4.16	0.84	2.67	17.07	12.86	7.24	4.53	10.77	8.53	0.28	0	12.22	9.54	9.45	9.02
merged_2_7292378	12.13	11.53	7.45	2.92	3.39	16.34	11.58	11.18	5.78	17.79	8.73	0.43	0.15	17.18	16.09	9.77	16.4
merged_4_5998929	3.12	2.17	1.2	2.11	1.43	0.75	0.96	1.36	1.12	0.2	0.09	0	0.09	6.05	3.96	5.66	8.28
merged_2_5747630	95.67	92.99	79.49	109.96	103.99	26.71	26.29	105.65	73.77	8.34	3.87	1.99	0.62	29.42	24.22	17.55	43.5
merged_4_1971785	1.94	2.25	2.65	0.14	0.44	3.09	4.6	2.68	2.3	6.24	5.79	0	0	2.76	2.41	1.89	1.81
merged_5_12131692	15.54	14.96	14.56	19.24	21.83	11.57	12.82	14.09	12.45	2.27	1.64	0.32	0.13	15.24	25.92	16.79	19.35
merged_1_9762471	69.93	69.89	66.64	2.02	1.67	117.06	111.8	100.2	61.53	166.3	126.97	3.58	0.87	93.29	67.31	52.91	74.21
merged_5_7299793	4.07	4.93	3.74	0.12	0.15	13.35	9.22	13.93	3.77	29.14	16.58	0.48	0.29	6.75	2.83	3.43	7.49
merged_3_15218980	172.97	201.7	147.92	197.19	169.53	58.25	53.55	203.24	145.94	10.57	6.38	2.86	0.72	162.33	262.57	13.02	17.85
merged_2_7595108	15.66	13.89	4.77	0.2	0.31	28.79	17.29	21.41	5.34	52.33	16.13	0.25	0.25	22.86	12.53	12.57	20.8
merged_5_9321228	71.8	72.9	43.19	58.86	56.17	48.52	35.43	64.83	35.75	16.4	9.05	1.53	0.22	62.14	79.37	16.85	22.56
merged_5_13504364	10.41	12.19	6.2	12.21	9.24	10.18	6.15	3.97	2.14	1.59	0.46	0.34	0	17.15	12.65	14.67	23.47
merged_3_17249271	57.26	71.75	69.27	4.29	7.13	138.5	148.36	109.67	71.09	176.39	175.12	5.19	1.17	83.77	62.34	61.36	79.79
merged_5_12092056	20.31	25.97	15.71	0.88	1.68	32.07	24.96	30.48	13.49	46.21	32.97	0.49	0.55	24.42	26.02	17.87	25.03
merged_2_4966403	58.58	64.02	35.21	57.37	42.73	63.04	35.53	39.7	17.68	4.88	1.46	0.48	0.22	65.98	62.76	48.34	72.54
merged_3_11082673	324.96	379.84	303.57	2.88	1.83	504.85	487.25	405.53	273.05	629.23	543.01	17.3	1.03	403.96	395.34	282.19	383.58
merged_5_10619214	6.15	4.07	2.14	5.1	2.86	7.53	4.04	0.66	0.39	1.7	0.48	0.14	0	3.39	2.26	1.62	6.38
merged_2_6001577	28.96	30.11	17.88	20.78	22.66	50.05	38.65	12.68	7.68	15.23	15.35	1.53	0.06	33.91	28.16	24.07	35.98
merged_3_12512622	4.61	2.62	2.92	1.05	1.08	4.76	4.43	3.73	2.01	5.45	3.99	0.14	0.02	4.67	3.78	3.05	3.89
merged_3_10917508	6.36	7.69	6.53	3.63	3.22	10.34	9.89	7.67	5.85	11.9	10.37	0.29	0.09	7.18	7.7	8.24	8.08
merged_2_5760077	5.55	7.25	3.29	0.38	0.63	14.06	5.46	5.04	2.9	9.26	6.09	0.1	0	7.87	5.83	3.03	5.88
merged_5_15429715	25.94	22.61	32.99	0.66	0.98	61.6	55.43	49.35	35.45	118.78	75.63	1.27	0.69	57.47	58.14	45.03	45.95
merged_2_5775111	29.19	26.44	17.17	3.51	4.17	45.58	30.69	32.87	14.98	48.71	27.17	1.45	0.69	31.62	28.03	25.22	34.51
merged_1_14139204	3.92	3.65	2.37	1.93	1.81	5.93	4.54	2.18	0.82	2.16	1.49	0.15	0.08	3.76	3.37	2.41	4.22
merged_1_9135535	17.39	11.57	7.94	0.94	1.95	10	6.89	7.73	4.6	9.13	5.57	0.07	0.11	18.2	10.52	13.45	13.47
merged_1_641139	71.02	96.72	52.32	4.68	4.45	179.43	171.67	119.94	79.13	318.34	212.17	10.6	0	115.52	77.93	76.04	110.57
merged_2_6852661	5.61	5.98	2.77	0.2	0.25	8.65	4.69	5.32	2.34	9.6	4.34	0.4	0.12	11	4.78	3.42	8.04
merged_1_24059956	18.61	6.16	3.93	0	0	33.75	24.62	4.36	3.96	10.12	8.18	0	0	12.69	5.39	12.08	12.4
merged_1_7392244	34.77	32.39	20.82	3.38	1.03	54.12	32.97	38.27	17.18	59.93	31.87	1.65	0.39	45.84	29.75	22.82	37.68
merged_4_3419224	0.86	1.06	0.97	1.05	1.93	0.75	1.11	0.46	0.49	0.31	0	0	0.07	1.26	2.45	0.92	1.19
merged_4_9087983	1.6	0	1.44	0.82	0.87	0.73	0.14	0.24	0.73	0	0.35	0	0	0.22	0.59	1.06	1.24
merged_1_14390452	3.31	3.33	3.61	5.18	6.68	2.66	1.87	3.68	3.88	0.79	0.35	0.02	0.02	3.52	3.57	3.36	3.88
merged_1_19026692	20.42	19.75	20.87	0.85	1.2	38.31	40.97	24.21	21.83	38.46	40.61	0.93	0.27	25.27	21.5	12.92	14.14
merged_2_16280690	7.48	11.88	4.64	0	0	25.15	9.1	15.72	3.83	22.32	11.74	0	0	11.74	7.29	4.97	13.06
merged_1_24622867	148.97	161.9	155.74	206.01	225.05	17.7	16.73	162.77	150.5	1.14	0.39	3.19	0.55	152.95	121.04	192.81	167.02
merged_4_6718835	383.87	399.72	390.35	3.89	4.15	697.57	561.86	540.7	331.41	945.28	702.74	21.59	2.69	456.17	440.93	321.24	510.06
merged_1_15968426	6.1	5.81	3.67	5.7	3.7	6.32	4.61	1.93	1.12	1.57	0.68	0	0	8.94	8.49	5.49	13.2
merged_5_14546492	45.15	45.32	37.19	1.41	2.09	76.52	62.38	61.39	33.36	75.66	63.73	1.26	0.95	80.5	51.5	27.31	51.63
merged_5_14162888	4.35	4.14	2.58	1.52	1.14	6.66	4.8	4.42	2.37	4.78	3.36	0.12	0.06	6.56	5.26	3.27	5.65
merged_5_20472679	208.89	193.33	141.62	211.05	181.94	51.14	41.97	199.68	124.18	16.18	8.49	4.72	0.23	55.5	27.16	56.69	69.19
merged_Mt_137877	15.82	13.36	16.13	24.27	18.73	5.52	5.77	13.46	12.07	2.9	3.1	0.96	2.98	7.71	9.93	8.7	11.25
merged_3_20485313	10.3	9.92	6.83	0.96	0.61	17.13	11.71	10.94	7.99	17.3	13.02	0.07	0.22	14.46	10.73	10.17	13.25
merged_4_3692441	4.27	3.97	3.5	5.66	4.47	3.96	4.81	3.59	2.79	2.06	1.97	0.16	0.1	4.6	6.53	4.8	5.94
merged_3_17150227	26.1	21.32	10.9	0.32	0.68	42.64	25.54	28.49	9.22	45.8	22.71	0.35	0.07	32.46	21.67	17.74	23.25
merged_3_9698936	29.81	24.38	11.74	1.66	0.39	45.17	27.41	40.02	14.59	61.92	29.12	0.51	0.26	39.18	21.81	16.62	31.14
merged_5_8203606	82.91	157.75	125.95	186.55	180.07	4.52	2.75	156.91	115.13	2.87	1.3	2.28	0.45	8.89	21.39	1.5	1.39
merged_3_13947361	2.82	3.51	4.76	7.39	3.6	2.91	3.06	3.61	3.11	0.72	0.54	0.12	0.18	6.67	4.54	4.13	10.21
merged_3_13915070	6.88	2.79	3.56	4.69	2.74	3.43	1.77	4.42	1.83	1.22	0.46	0.2	0	6.61	4.95	3.73	7.15
merged_4_6910374	4.2	6.62	3.72	0	0.11	7.03	5.05	6.31	3.86	15.55	7.15	0.99	0	6.55	4.18	4.41	6.01
merged_4_3317714	12.88	14.25	12.96	15.93	16.6	13.26	16.33	0.78	0.77	0.56	0.51	0.16	0.1	10.82	10.12	16.75	13.72
merged_5_12042461	1.49	1.51	2.07	2.21	2.37	1.29	2.5	1.26	1.35	0.86	0.43	0.28	0	1.83	2.71	1.77	2.69
merged_1_6736442	19.38	19.01	24.91	1.17	1.05	21.15	25.57	18.39	17.74	24.65	23.13	0.56	0.55	23.71	23.26	18.94	19.5
merged_5_17916308	4.2	1.87	1.16	0.5	0.32	5.97	1.85	6.74	1.39	6.98	2.38	0	0	3.86	1.99	1.46	3.74
merged_2_15389608	6.91	8.31	5.31	0.4	0.17	15.23	10.75	8.84	4.91	16.88	17.59	0.55	0.17	6.43	5.75	5.68	7.16
merged_5_19659834	2.12	7.5	2.19	0	0	12.44	4.79	11.69	2.61	22.01	9.77	0.25	0	16.67	8.54	6.91	13.39
merged_5_21423633	45.12	39.24	12.56	0.45	0.28	62.52	38.17	56.12	18.92	92.29	45.72	1.48	0	41.87	18.62	31.39	40.06
merged_1_16716769	3.09	2.08	2.92	1.3	1.51	4.96	4.77	4.05	3.15	5.4	4.54	0.07	0	3.11	3.4	3.46	3.53
